이름
상추  
적상추  
청상추  
로메인  
쌈추  
케일  
쌈케일  
꽃케일  
곱슬케일  
치커리  
쑥갓  
시금치  
청경채  
비타민다채  
배추  
얼갈이배추  
봄배추  
열무  
아욱  
근대  
신선초  
명이나물  
산마늘  
루꼴라  
파슬리  
이탈리안 파슬리  
컬리 파슬리  
고수  
딜  
차요테  
엔다이브  
다채  
적채  
양배추  
미니 양배추  
브로콜리  
새싹 브로콜리  
콜라비  
겨자채  
청겨자  
적겨자  
무  
알타리무  
총각무  
조선무  
김장무  
당근  
미니 당근  
감자  
수미감자  
두백감자  
하지감자  
고구마  
호박고구마  
밤고구마  
양파  
대파  
쪽파  
마늘  
조선마늘  
대서마늘  
생강  
연근  
우엉  
비트  
자색 감자  
토마토  
방울토마토  
일반토마토  
대추토마토  
오이  
백다다기  
취청오이  
가지  
고추  
청양고추  
아삭이고추  
꽈리고추  
파프리카  
피망  
수박  
애플수박  
미니 수박  
참외  
호박  
애호박  
단호박  
맷돌호박  
멜론  
미니 멜론  
옥수수  
초당옥수수  
단옥수수  
완두콩  
강낭콩  
동부  
땅콩  
딸기  
관상용 딸기  
블루베리  
체리  
왜성 체리  
블랙베리  
라즈베리  
오크라  
여주  
케이프 구스베리  
초롱박  
루파  
수세미  
유자  
왜성 유자  
바질  
스위트 바질  
레몬 바질  
페퍼민트  
로즈마리  
타임  
오레가노  
라벤더  
레몬밤  
캐모마일  
스테비아  
민트  
애플민트  
초코민트  
세이지  
로켓  
루꼴라  
처빌  
보리지  
에키네시아  
브로콜리니  
콜리플라워  
아스파라거스  
아티초크  
땅콩호박  
루바브  
와사비  
산와사비  
샐러리  
미니 양배추  
마이크로그린  
비타민채 혼합  
쌈채소 모듬  
허브 모듬  
허니듀 멜론  
시트러스 계열  
커피나무  
구아바  
망고  
파인애플  
올리브나무  
새싹채소  
레몬  
오렌지 
