이름
몬스테라
스투키
홍콩야자
고무나무
아이비
아레카야자
필레아페페
셰프렐라
디펜바키아
테이블야자
스파티필럼
피토니아
칼라데아
페페로미아
산세베리아
파키라
유카
마란타
팔레놉시스
크로톤
행운목
닥스빈
피쿠스 벤자미나
제브리나
무늬아이비
코르디린
튤립
거베라
아글라오네마
칼랑코에
칼라데아 오르비폴리아
알로카시아
아글라오네마 실버퀸
무늬고무나무
네프롤레피스
트라데스칸티아
칼라데아 마코야나
아스파라거스 나나스
콜레우스
디시디아
스킨답서스
틸란드시아
크로톤 피카소
펠리오니아
루비스네크
벤쿠버 고사리
클루시아
스파이더플랜트
아디안텀
아글라오네마 마리아
베고니아 렉스
스트로만세
도토리나무
관음죽
세라기네라
포토스
하와이야자
펑크시스
푸미라
레드스타 드라세나
만세선인장
슈가바인
흑법사
크라운 선인장
레몬밤
제라늄
루비루비
딥퍼플
프테리스
사랑초
청페페
멜라니 고무나무
피토니아 핑크
테라피아
바질
레몬트리
바이올렛
엘라티오르
소포라
테라리움믹스
아라우카리아
로즈마리
바질라임
페페로미아 옵투시폴리아
칼라디움
라벤더
미니아테아
틸란드시아 이오난사
루피너스
콜레우스 무늬
시클라멘
블루스타고사리
용설란
트리안
로즈제라늄
이레네
크루시아 로제아
피페로미아 프로스트
크로톤 골드스타
청고수
아펠란드라
무늬벚나무
아보카도
차이브
파인애플민트
샐러리
애플민트
스피아민트
고수
페퍼민트
타임
캐모마일
세이지
애플제라늄
파슬리
피버퓨
스컬캡
금전수
한련
맥문동
올리브나무
유칼립투스
떡갈고무나무
키위베리
데코라 고무나무
코리안더
차전자
삼백초
비단사초
사철쑥
당귀
순무
비트
호야
